#  Contiguous U.S. Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
202209,81.21
202210,68.58
202211,51.91
202212,42.58
202301,44.37
202302,47.62
202303,51.42
202304,64.18
202305,75.07
202306,81.57
202307,88.72
202308,86.92
202309,80.46
202310,68.09
202311,55.65
202312,49.73
202401,41
202402,51.91
202403,56.39
202404,66.06
202405,74.66
202406,84.6
202407,88.43
202408,86.72
202409,81.84
202410,73.13
202411,55.54
202412,48.33
202501,39.87
202502,45.99
202503,59.7
202504,66.38
